Cities of France	Postal code
Loubejac 	24550
Lunas 	24130
Lusignac 	24320
Lussas-et-Nontronneau 	24300
Manaurie 	24620
Manzac-sur-Vern 	24110
Marcillac-Saint-Quentin 	24200
Mareuil 	24340
Marnac 	24220
Marquay 	24620
Marsac-sur-l'Isle 	24430
Marsalès 	24540
Marsaneix 	24750
Maurens 	24140
Mauzac-et-Grand-Castang 	24150
Mauzens-et-Miremont 	24260
Mayac 	24420
Mazeyrolles 	24550
Ménesplet 	24700
Mensignac 	24350
Mescoules 	24240
Meyrals 	24220
Miallet 	24450
Milhac-d'Auberoche 	24330
Milhac-de-Nontron 	24470
Minzac 	24610
Molières 	24480
Monbazillac 	24240
Monestier 	24240
Monfaucon 	24130
Monmadalès 	24560
Monmarvès 	24560
Monpazier 	24540
Monplaisant 	24170
Monsac 	24440
Monsaguel 	24560
Monsec 	24340
Montagnac-d'Auberoche 	24210
Montagnac-la-Crempse 	24140
Montagrier 	24350
